[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:04] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:04] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 142.250.202.234:443 -> 192.168.18.132:50196
[2026-03-26 08:55:05] UDP | 142.250.202.234:443 -> 192.168.18.132:50196
[2026-03-26 08:55:05] UDP | 192.168.18.132:50196 -> 142.250.202.234:443
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:05] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:05] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:06] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:06] UDP | 192.168.18.132:62085 -> 8.8.8.8:53
[2026-03-26 08:55:06] UDP | 192.168.18.132:56767 -> 8.8.8.8:53
[2026-03-26 08:55:06] UDP | 8.8.8.8:53 -> 192.168.18.132:62085
[2026-03-26 08:55:06] UDP | 8.8.8.8:53 -> 192.168.18.132:56767
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:06] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:06] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:06] UDP | 192.168.18.132:53108 -> 8.8.8.8:53
[2026-03-26 08:55:06] UDP | 192.168.18.132:60990 -> 8.8.8.8:53
[2026-03-26 08:55:06] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:06] UDP | 8.8.8.8:53 -> 192.168.18.132:60990
[2026-03-26 08:55:06] UDP | 8.8.8.8:53 -> 192.168.18.132:53108
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:56390
[2026-03-26 08:55:06] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:56390 -> 37.228.108.149:443
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] UDP | 192.168.18.132:50451 -> 142.251.150.119:443
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] TCP | 37.228.108.149:443 -> 192.168.18.132:51108
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] TCP | 192.168.18.132:51108 -> 37.228.108.149:443
[2026-03-26 08:55:06] UDP | 142.251.150.119:443 -> 192.168.18.132:50451
[2026-03-26 08:55:06] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
